"latitude","longitude","Province","Division"
60, -95, "Canada",
50, -85, "Ontario",
53, -70, "Quebec",
45, -63, "Nova Scotia",
46, -66, "New Brunswick",
46.5, -63.5, "Prince Edward Island",
53, -60, "Newfoundland and Labrador",
55, -97, "Manitoba",
55, -106, "Saskatchewan",
55, -115, "Alberta",
54, -125, "British Columbia",
64, -135, "Yukon",
66, -119, "Northwest Territories",
73, -91, "Nunavut",
47.5675, -52.707222, "NL", "St. John's"
47.584722, -53.278333, "NL", "Bay Roberts"
48.936944, -55.645, "NL", "Grand Falls-Windsor"
48.95, -57.95, "NL", "Corner Brook"
46.24, -63.1399, "PE", "Charlottetown"
46.4, -63.783333, "PE", "Summerside"
44.647778, -63.571389, "NS", "Halifax"
45.0775, -64.495833, "NS", "Kentville"
45.364722, -63.28, "NS", "Truro"
45.59256, -62.645458, "NS", "New Glasgow"
46.166667, -60.75, "NS", "Cape Breton"
46.132778, -64.771389, "NB", "Moncton"
45.280556, -66.076111, "NB", "Saint John"
45.95, -66.666667, "NB", "Fredericton"
47.62, -65.65, "NB", "Bathurst"
47.0225, -65.508889, "NB", "Miramichi"
48.005, -66.673056, "NB", "Campbellton"
47.3765, -68.325347, "NB", "Edmundston"
48.85, -67.533333, "QC", "Matane"
48.45, -68.53, "QC", "Rimouski"
47.833333, -69.533333, "QC", "Riviere-du-Loup"
49.216667, -68.15, "QC", "Baie-Comeau"
48.416667, -71.066667, "QC", "Saguenay"
48.55, -71.65, "QC", "Alma"
48.883333, -72.233333, "QC", "Dolbeau-Mistassini"
50.216667, -66.383333, "QC", "Sept-Iles"
46.816667, -71.216667, "QC", "Quebec"
46.116667, -70.666667, "QC", "Saint-Georges"
46.1, -71.3, "QC", "Thetford Mines"
45.4, -71.9, "QC", "Sherbrooke"
45.2, -72.75, "QC", "Cowansville"
46.05, -71.966667, "QC", "Victoriaville"
46.35, -72.55, "QC", "Trois-Rivieres"
46.566667, -72.75, "QC", "Shawinigan"
45.883333, -72.483333, "QC", "Drummondville"
45.4, -72.733333, "QC", "Granby"
45.616667, -72.95, "QC", "Saint-Hyacinthe"
46.033333, -73.116667, "QC", "Sorel-Tracy"
46.016667, -73.45, "QC", "Joliette"
45.316667, -73.266667, "QC", "Saint-Jean-sur-Richelieu"
45.5, -73.566667, "QC", "Montreal"
45.25, -74.13, "QC", "Salaberry-de-Valleyfield"
45.65, -74.333333, "QC", "Lachute"
48.1, -77.783333, "QC", "Val-d'Or"
48.566667, -78.116667, "QC", "Amos"
48.233333, -79.016667, "QC", "Rouyn-Noranda"
45.0275, -74.74, "ON", "Cornwall"
45.6, -74.6, "ON", "Hawkesbury"
45.420833, -75.69, "ON", "Ottawa - Gatineau"
44.583333, -75.683333, "ON", "Brockville"
45.816667, -77.116667, "ON", "Pembroke"
45.9, -77.283333, "ON", "Petawawa"
44.233333, -76.5, "ON", "Kingston"
44.166667, -77.383333, "ON", "Belleville"
43.966667, -78.166667, "ON", "Cobourg"
43.95, -78.3, "ON", "Port Hope"
44.3, -78.316667, "ON", "Peterborough"
44.35, -78.75, "ON", "Kawartha Lakes"
43.7, -80.366667, "ON", "Centre Wellington"
43.9, -78.85, "ON", "Oshawa"
43.039167, -80.883611, "ON", "Ingersoll"
43.7, -79.4, "ON", "Toronto"
43.25, -79.866667, "ON", "Hamilton"
43.0799, -79.0747, "ON", "St. Catharines - Niagara"
43.45, -80.483333, "ON", "Kitchener - Cambridge - Waterloo"
43.166667, -80.25, "ON", "Brantford"
43.130556, -80.746667, "ON", "Woodstock"
42.866667, -80.733333, "ON", "Tillsonburg"
42.85, -80.266667, "ON", "Norfolk"
43.55, -80.25, "ON", "Guelph"
43.366667, -80.966667, "ON", "Stratford"
42.9837, -81.2497, "ON", "London"
42.4, -82.183333, "ON", "Chatham-Kent"
42.066667, -82.583333, "ON", "Leamington"
42.283333, -83, "ON", "Windsor"
42.999444, -82.308889, "ON", "Sarnia"
44.566667, -80.933333, "ON", "Owen Sound"
44.5, -80.216667, "ON", "Collingwood"
44.39, -79.686, "ON", "Barrie"
44.6, -79.416667, "ON", "Orillia"
44.75, -79.883333, "ON", "Midland"
46.3, -79.45, "ON", "North Bay"
46.49, -81.01, "ON", "Greater Sudbury / Grand Sudbury"
46.383333, -82.65, "ON", "Elliot Lake"
47.516667, -79.683333, "ON", "Temiskaming Shores"
48.466667, -81.333333, "ON", "Timmins"
46.533333, -84.35, "ON", "Sault Ste. Marie"
48.382222, -89.246111, "ON", "Thunder Bay"
49.766667, -94.483333, "ON", "Kenora"
49.899444, -97.139167, "MB", "Winnipeg"
49.525833, -96.683889, "MB", "Steinbach"
49.972778, -98.291944, "MB", "Portage la Prairie"
49.833333, -99.95, "MB", "Brandon"
55.743333, -97.855278, "MB", "Thompson"
50.454722, -104.606667, "SK", "Regina"
51.213889, -102.462778, "SK", "Yorkton"
50.393333, -105.551944, "SK", "Moose Jaw"
50.288056, -107.793889, "SK", "Swift Current"
52.133333, -106.683333, "SK", "Saskatoon"
52.7575, -108.286111, "SK", "North Battleford"
53.2, -105.75, "SK", "Prince Albert"
49.139167, -102.986111, "SK", "Estevan"
50.041667, -110.6775, "AB", "Medicine Hat"
50.564167, -111.898889, "AB", "Brooks"
49.694167, -112.832778, "AB", "Lethbridge"
50.725, -113.975, "AB", "Okotoks"
50.58075, -113.874444, "AB", "High River"
51.05, -114.066667, "AB", "Calgary"
51.037778, -113.400278, "AB", "Strathmore"
51.089, -115.359, "AB", "Canmore"
52.268056, -113.811111, "AB", "Red Deer"
52.308333, -114.096389, "AB", "Sylvan Lake"
52.468333, -113.736944, "AB", "Lacombe"
53.016667, -112.833333, "AB", "Camrose"
53.533333, -113.5, "AB", "Edmonton"
53.278333, -110.005, "AB", "Lloydminster"
54.464167, -110.1825, "AB", "Cold Lake"
55.170833, -118.794722, "AB", "Grande Prairie"
56.726667, -111.379722, "AB", "Wood Buffalo"
52.969444, -113.376944, "AB", "Wetaskiwin"
49.509722, -115.766667, "BC", "Cranbrook"
49.491111, -119.588611, "BC", "Penticton"
49.8801, -119.4436, "BC", "Kelowna"
50.267, -119.272, "BC", "Vernon"
50.702222, -119.272222, "BC", "Salmon Arm"
50.676111, -120.340833, "BC", "Kamloops"
49.157722, -121.950917, "BC", "Chilliwack"
49.583333, -121.833333, "BC", "Abbotsford - Mission"
49.25, -123.1, "BC", "Vancouver"
49.701722, -123.15875, "BC", "Squamish"
48.422, -123.365, "BC", "Victoria"
48.778694, -123.707861, "BC", "Duncan"
49.164167, -123.936389, "BC", "Nanaimo"
49.315, -124.312, "BC", "Parksville"
49.233889, -124.805, "BC", "Port Alberni"
49.687778, -124.994444, "BC", "Courtenay"
50.024444, -125.2475, "BC", "Campbell River"
49.835278, -124.524722, "BC", "Powell River"
52.129444, -122.138333, "BC", "Williams Lake"
52.978444, -122.492667, "BC", "Quesnel"
54.312194, -130.327083, "BC", "Prince Rupert"
54.516389, -128.599722, "BC", "Terrace"
53.916944, -122.749444, "BC", "Prince George"
55.760556, -120.235556, "BC", "Dawson Creek"
56.246462, -120.847634, "BC", "Fort St. John"
60.716667, -135.05, "YT", "Whitehorse"
62.442222, -114.3975, "NT", "Yellowknife"
